gen,best,avg,species
1,473.3402,-170.5297,4
2,327.9993,-119.9478,7
3,492.0711,-26.4856,4
4,332.5786,-148.6594,10
5,589.2410,-21.3802,15
6,452.1617,-71.1520,9
7,170.3435,-165.3662,11
8,339.9038,-64.0989,9
9,644.9977,132.4407,10
10,164.5290,-108.1738,14
11,438.8702,-106.1266,8
12,447.1100,21.5641,11
13,626.8719,123.5882,27
14,328.1082,-127.1949,21
15,185.5906,-130.6986,22
16,502.6346,-43.4504,21
17,356.3840,53.9932,7
18,325.9422,-54.4034,11
19,282.5255,-76.0273,14
20,638.8927,128.7055,17
21,346.8116,-25.5429,26
22,384.5683,-18.9086,15
23,347.4707,-28.5937,13
24,350.8284,-61.8424,19
25,479.8697,55.5844,9
26,343.2204,-155.1255,9
27,505.8658,17.0925,10
28,665.0945,-39.6634,10
29,348.6761,26.7432,9
30,496.1711,13.2016,17
31,648.1074,116.1965,5
32,643.6046,-24.6226,13
33,662.3640,-41.0017,10
34,648.4109,159.2651,12
35,520.7413,117.2159,17
36,660.3564,83.0667,18
37,332.6235,-82.3860,16
38,658.9783,145.0492,20
39,655.4314,218.7540,19
40,637.2569,-11.2007,17
41,463.7926,-106.0945,13
42,461.7413,49.1892,2
43,502.6529,-37.8827,3
44,655.3451,-14.8121,9
45,648.7584,121.7064,6
46,658.6390,168.8091,10
47,667.2383,247.1905,18
48,500.9738,-0.1551,22
49,639.5883,24.7659,6
50,469.7361,-94.1502,13
51,486.3412,123.4572,16
52,500.3565,126.0613,7
53,474.6169,-72.4752,9
54,655.4089,196.0440,24
55,657.7603,39.6433,16
56,499.1547,-122.0018,13
57,660.1651,184.0664,2
58,669.9562,133.6451,7
59,651.7343,34.4448,14
60,505.9178,-75.1807,7
61,668.2872,232.9356,10
62,681.1426,114.6807,17
63,677.3482,52.7103,18
64,664.7778,64.7374,21
65,662.3759,200.7294,6
66,492.6798,32.3232,15
67,665.6014,117.3209,21
68,671.8173,199.5793,12
69,660.6066,59.9745,21
70,658.5706,141.9430,14
71,513.0046,-81.8217,12
72,484.5564,-119.6357,11
73,656.7377,197.6225,2
74,665.2017,-20.7787,10
75,659.6850,20.8249,10
76,639.7617,112.5966,5
77,667.9662,-12.4968,11
78,635.7773,186.5111,5
79,672.6252,291.2158,8
80,664.5992,88.7622,14
81,637.5534,72.5455,18
82,641.7179,45.5735,24
83,660.5670,211.8533,26
84,662.4656,137.8605,26
85,645.8976,54.7475,18
