gen,best,avg,species
1,392.7456,-132.7077,16
2,472.4499,-44.4951,16
3,488.3414,-134.5407,3
4,292.6949,-82.9281,3
5,541.0760,-134.2812,1
6,542.3910,29.9846,2
7,396.0159,-164.9743,10
8,639.7030,144.5862,4
9,650.2640,114.3942,7
10,380.3142,-48.8116,16
11,661.0611,144.6095,11
12,546.5371,52.0259,18
13,515.5196,-93.3756,11
14,664.7640,71.5552,6
15,543.3222,18.9206,14
16,368.5835,-12.8023,11
17,662.9051,153.8472,8
18,660.2078,38.3252,9
19,487.5735,87.7065,9
20,664.2049,117.9104,11
21,659.6785,21.4950,16
22,512.6008,-42.2066,8
23,353.9783,-87.5111,7
24,535.2004,104.1765,12
25,376.2546,-86.7769,20
26,532.5252,-25.5914,17
27,525.5901,38.0371,15
28,374.0336,-22.6749,9
29,464.7009,69.8498,12
30,475.0381,-0.7350,6
31,539.5511,-37.2341,7
32,651.4093,21.8221,10
33,504.0916,101.0750,10
34,383.9539,-94.5992,12
35,515.9433,43.9320,12
36,663.4850,63.2435,14
37,397.1417,-2.9595,18
38,660.9015,183.4152,8
39,469.7235,-19.0261,14
40,655.3370,-29.2779,16
41,518.6993,128.5536,12
42,253.4708,-124.7239,18
43,510.2335,-109.4290,17
44,501.2881,65.4364,8
45,662.3522,117.1859,15
46,481.2739,-38.8575,15
47,503.3668,-111.3457,8
48,633.0059,47.0745,13
49,491.4854,35.2022,13
50,640.3126,26.0044,13
51,647.3130,-28.7161,11
52,498.7589,50.9608,10
