gen,best,avg,species
1,209.1900,-298.0986,6
2,342.0517,-220.5080,15
3,356.6717,-302.6576,10
4,355.9217,-16.8032,7
5,469.8700,-174.6133,19
6,640.9917,-139.7842,15
7,481.9883,-164.6379,9
8,362.4450,-240.2567,19
9,354.3000,-123.8512,24
10,211.4434,-197.6286,4
11,353.8850,-337.4619,9
12,475.6734,-238.1542,15
13,498.3300,-75.1519,18
14,654.5450,4.9443,8
15,348.4383,-196.7002,17
16,332.0383,-105.6694,6
17,788.4483,46.0289,16
18,342.9583,-316.0237,13
19,210.1683,-224.2963,8
20,357.2632,-157.3416,11
21,350.7983,-266.6840,14
22,212.3650,-242.3385,18
23,487.7684,-137.5342,25
24,297.1717,-299.1549,19
25,208.2750,-344.4606,2
26,465.2683,-215.5441,17
27,337.3500,-207.2622,5
28,334.2100,-208.8675,9
29,204.9450,-269.9319,13
30,361.6050,-180.0369,5
31,345.3350,-297.3114,12
32,324.0100,-185.0785,11
33,622.4366,-196.5909,15
34,203.4950,-352.4341,6
35,326.7500,-243.4063,12
36,364.5233,-105.8211,17
37,497.8716,-106.4963,9
38,344.5550,-251.5240,11
39,216.8917,-231.7097,12
40,497.3567,-71.0028,14
41,503.1300,-91.2972,12
42,222.0700,-322.0846,9
43,209.0217,-383.2740,17
44,204.4550,-282.6576,23
45,193.6934,-298.2757,30
46,339.5600,-222.0127,30
47,69.3583,-440.6442,13
48,344.3733,-171.9205,10
49,214.6900,-289.1454,9
50,345.3316,-298.6184,17
51,206.0867,-281.2793,24
52,608.9084,-179.7289,22
53,348.0400,-203.6451,8
54,211.3083,-290.2834,11
55,207.3617,-273.7451,11
56,639.7883,-176.5948,12
57,200.7816,-292.9720,10
58,210.4650,-300.2745,13
59,344.8600,-198.8608,13
60,486.1767,-157.1762,13
61,212.3783,-304.9016,8
62,329.5750,-267.0305,8
63,355.9683,-123.8337,13
64,358.8233,-254.0140,9
65,478.0800,-131.6463,7
66,510.4833,-30.7308,22
67,207.3817,-199.6678,12
68,473.6550,-166.6187,22
69,474.2367,-314.8733,15
70,364.6450,-143.4810,13
71,353.4667,-208.8671,11
72,496.2300,-19.0903,17
73,498.1950,-31.9072,11
74,434.5649,-371.4790,5
75,470.8017,-260.8316,7
76,332.0950,-270.8731,19
77,329.1950,-301.0571,22
78,362.8667,-199.3540,19
79,491.7400,-232.9547,18
80,490.1983,-261.1695,22
81,472.5117,-275.1372,20
82,358.9233,-217.5480,22
83,353.6867,-98.4937,6
84,474.9817,-108.7076,5
85,203.6067,-319.8781,5
86,495.5117,-87.9337,5
87,70.1367,-263.2625,6
88,628.6866,-146.4911,13
89,214.3200,-245.0095,13
90,634.5266,-236.0472,14
91,63.0383,-299.0991,19
92,490.4417,-213.8960,19
93,62.3984,-338.3152,20
94,496.2533,-189.4100,20
95,53.9667,-385.6718,10
96,475.5166,-249.9314,11
97,325.3183,-172.2682,14
98,207.5150,-251.6001,14
99,49.8100,-316.5837,15
100,199.4300,-264.1994,15
101,475.7600,-243.8579,21
102,202.9733,-300.0179,20
103,617.2183,-243.3742,18
104,172.1950,-314.7727,20
105,-64.8367,-396.0167,19
106,206.4050,-329.4239,17
107,495.0967,-254.4765,17
108,371.4783,-194.9445,15
109,377.6517,-261.9303,2
110,182.6516,-357.3153,2
111,622.9567,-109.2013,2
112,498.2900,5.3620,2
113,61.1883,-370.7484,1
114,483.4916,-6.1439,1
115,477.5250,-113.6352,3
116,360.0300,-101.9182,5
117,208.2717,-255.2459,7
